,사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
238,2020112300100490,2020년 11월 23일 18시,월요일,경기도 하남시 망월동,부상신고사고,0,0,0,1,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로부근,이륜,남,25세,상해없음,보행자,남,12세,부상신고
239,2020112400100350,2020년 11월 24일 15시,화요일,경기도 고양시 일산동구 식사동,중상사고,0,2,0,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,11세,중상
240,2020112400100558,2020년 11월 24일 20시,화요일,경기도 안산시 단원구 와동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,29세,상해없음,자전거,남,11세,경상
241,2020112500100326,2020년 11월 25일 15시,수요일,경기도 안산시 상록구 본오동,경상사고,0,0,1,0,차대사람 - 보도통행중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,원동기,남,43세,상해없음,보행자,남,10세,경상
243,2020113000100367,2020년 11월 30일 15시,월요일,경기도 의정부시 민락동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,25세,상해없음,보행자,여,12세,경상
244,2020120100100282,2020년 12월 1일 13시,화요일,경기도 안산시 상록구 본오동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로안,이륜,남,23세,상해없음,자전거,남,11세,경상
245,2020120200100299,2020년 12월 2일 15시,수요일,경기도 고양시 덕양구 내유동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,62세,상해없음,보행자,여,12세,경상
246,2020120300100419,2020년 12월 3일 18시,목요일,경기도 용인시 수지구 신봉동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,승용,여,59세,상해없음,자전거,남,11세,중상
247,2020120400100104,2020년 12월 4일 08시,금요일,경기도 광명시 광명동,부상신고사고,0,0,0,1,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,52세,상해없음,보행자,여,12세,부상신고
248,2020120400100367,2020년 12월 4일 16시,금요일,경기도 부천시 소사본동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,65세,상해없음,보행자,남,10세,경상
249,2020120400100480,2020년 12월 4일 18시,금요일,경기도 용인시 수지구 신봉동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,60세,상해없음,보행자,여,12세,경상
250,2020120400100631,2020년 12월 4일 21시,금요일,경기도 파주시 문산읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,55세,상해없음,자전거,남,11세,경상
251,2020120700100332,2020년 12월 7일 16시,월요일,경기도 양주시 백석읍,경상사고,0,0,1,0,차대차 - 기타,과속,건조,맑음,단일로 - 기타,승용,여,57세,상해없음,자전거,남,12세,경상
252,2020120800100177,2020년 12월 8일 11시,화요일,경기도 안산시 상록구 사동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,51세,상해없음,자전거,남,10세,경상
253,2020120800100291,2020년 12월 8일 14시,화요일,경기도 성남시 중원구 중앙동,경상사고,0,0,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,62세,상해없음,보행자,남,10세,경상
254,2020121000100241,2020년 12월 10일 15시,목요일,경기도 안양시 동안구 평촌동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,단일로 - 기타,승용,여,60세,상해없음,자전거,남,10세,경상
255,2020121000100359,2020년 12월 10일 18시,목요일,경기도 용인시 기흥구 보라동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,여,11세,경상
257,2020121200100360,2020년 12월 12일 18시,토요일,경기도 수원시 영통구 하동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로부근,이륜,남,16세,상해없음,자전거,남,10세,경상
258,2020122100100571,2020년 12월 21일 20시,월요일,경기도 하남시 감일동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,44세,상해없음,개인형이동수단(PM),남,11세,경상
259,2020122300100234,2020년 12월 23일 13시,수요일,경기도 김포시 고촌읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,68세,상해없음,보행자,여,12세,경상
260,2020122400100196,2020년 12월 24일 12시,목요일,경기도 성남시 수정구 태평동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로안,원동기,남,40세,상해없음,보행자,남,11세,경상
261,2021010100100165,2021년 1월 1일 18시,금요일,경기도 시흥시 거모동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,39세,상해없음,보행자,남,12세,경상
262,2021010400100151,2021년 1월 4일 13시,월요일,경기도 광주시 송정동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,건조,맑음,교차로 - 교차로부근,승용,남,43세,상해없음,자전거,남,11세,경상
263,2021010500100230,2021년 1월 5일 15시,화요일,경기도 고양시 일산동구 정발산동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,단일로 - 기타,이륜,남,46세,상해없음,보행자,여,11세,경상
264,2021010600100232,2021년 1월 6일 14시,수요일,경기도 의정부시 의정부동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,63세,상해없음,보행자,남,11세,경상
265,2021010600100293,2021년 1월 6일 16시,수요일,경기도 하남시 학암동,경상사고,0,0,1,0,차대차 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,33세,상해없음,자전거,남,10세,경상
266,2021011800100169,2021년 1월 18일 13시,월요일,경기도 용인시 기흥구 상하동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,40세,상해없음,보행자,남,12세,경상
267,2021011800100362,2021년 1월 18일 19시,월요일,경기도 오산시 벌음동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,남,10세,경상
268,2021012000100310,2021년 1월 20일 14시,수요일,경기도 이천시 갈산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승합,여,46세,상해없음,보행자,여,11세,경상
269,2021012000100444,2021년 1월 20일 17시,수요일,경기도 고양시 덕양구 고양동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로부근,승용,남,51세,상해없음,보행자,남,11세,중상
270,2021012500100273,2021년 1월 25일 14시,월요일,경기도 화성시 청계동,중상사고,0,1,0,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,승용,여,37세,상해없음,보행자,남,11세,중상
272,2021013100100238,2021년 1월 31일 17시,일요일,경기도 부천시 오정동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,61세,상해없음,보행자,남,10세,경상
274,2021020500100545,2021년 2월 5일 20시,금요일,경기도 광주시 송정동,중상사고,0,1,1,0,차대사람 - 횡단중,보행자보호의무위반,젖음/습기,기타,교차로 - 교차로안,승용,여,56세,상해없음,보행자,여,10세,중상
275,2021020800100479,2021년 2월 8일 18시,월요일,경기도 의왕시 내손동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승합,남,65세,상해없음,보행자,남,10세,경상
276,2021021700100360,2021년 2월 17일 17시,수요일,경기도 성남시 수정구 신흥동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,상해없음,보행자,여,12세,경상
277,2021021800100342,2021년 2월 18일 17시,목요일,경기도 광주시 오포읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,기타 - 기타,승용,남,54세,상해없음,보행자,여,11세,경상
278,2021022000100355,2021년 2월 20일 17시,토요일,경기도 화성시 봉담읍,경상사고,0,0,1,0,차대사람 - 기타,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,남,42세,상해없음,보행자,남,11세,경상
280,2021022600100239,2021년 2월 26일 13시,금요일,경기도 화성시 우정읍,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,교차로 - 교차로안,기타불명,기타불명,미분류,기타불명,보행자,남,10세,경상
281,2021030400100105,2021년 3월 4일 08시,목요일,경기도 파주시 아동동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,화물,남,41세,상해없음,자전거,남,12세,중상
282,2021030500100544,2021년 3월 5일 21시,금요일,경기도 용인시 수지구 동천동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,55세,상해없음,보행자,여,10세,경상
283,2021030700100181,2021년 3월 7일 15시,일요일,경기도 광주시 장지동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,여,43세,상해없음,자전거,남,12세,경상
284,2021031200100372,2021년 3월 12일 17시,금요일,경기도 안산시 상록구 수암동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,37세,상해없음,자전거,남,11세,경상
285,2021031200100504,2021년 3월 12일 20시,금요일,경기도 안성시 석정동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,63세,상해없음,자전거,남,12세,경상
286,2021031500100329,2021년 3월 15일 16시,월요일,경기도 시흥시 정왕동,중상사고,0,2,0,0,차대차 - 기타,신호위반,건조,맑음,단일로 - 기타,자전거,남,12세,중상,자전거,남,12세,중상
287,2021031600100319,2021년 3월 16일 14시,화요일,경기도 남양주시 평내동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,화물,남,61세,상해없음,보행자,남,10세,경상
288,2021031600100328,2021년 3월 16일 15시,화요일,경기도 김포시 운양동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,78세,상해없음,자전거,남,11세,부상신고
290,2021031600100440,2021년 3월 16일 18시,화요일,경기도 성남시 중원구 상대원동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,55세,상해없음,보행자,남,10세,경상
292,2021031900100404,2021년 3월 19일 17시,금요일,경기도 부천시 중동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,자전거,남,28세,상해없음,자전거,남,12세,경상
293,2021031900100538,2021년 3월 19일 20시,금요일,경기도 수원시 팔달구 화서동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,남,48세,상해없음,자전거,남,11세,경상
294,2021032200100352,2021년 3월 22일 16시,월요일,경기도 광주시 탄벌동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,개인형이동수단(PM),남,19세,상해없음,자전거,남,11세,중상
295,2021032300100243,2021년 3월 23일 13시,화요일,경기도 포천시 소흘읍,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,기타 - 기타,화물,남,61세,상해없음,보행자,남,12세,경상
297,2021032300100360,2021년 3월 23일 16시,화요일,경기도 남양주시 호평동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,53세,상해없음,보행자,남,10세,경상
298,2021032400100252,2021년 3월 24일 13시,수요일,경기도 남양주시 화도읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,보행자,여,10세,경상
299,2021032500100081,2021년 3월 25일 08시,목요일,경기도 안산시 단원구 원곡동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,기타 - 기타,승용,여,34세,상해없음,보행자,남,11세,경상
300,2021032500100279,2021년 3월 25일 14시,목요일,경기도 시흥시 정왕동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,38세,상해없음,자전거,남,10세,경상
301,2021033000100363,2021년 3월 30일 15시,화요일,경기도 고양시 일산서구 일산동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,51세,상해없음,보행자,남,10세,경상
302,2021033100100273,2021년 3월 31일 14시,수요일,경기도 화성시 향남읍,중상사고,0,1,0,0,차대차 - 추돌,신호위반,건조,맑음,교차로 - 교차로부근,승용,여,60세,상해없음,자전거,남,12세,중상
303,2021033100100311,2021년 3월 31일 15시,수요일,경기도 용인시 기흥구 고매동,경상사고,0,0,2,0,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,16세,경상,자전거,남,10세,경상
304,2021040100100414,2021년 4월 1일 17시,목요일,경기도 광주시 탄벌동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승합,남,54세,상해없음,자전거,남,10세,경상
305,2021040100100422,2021년 4월 1일 17시,목요일,경기도 하남시 창우동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,74세,상해없음,보행자,남,10세,경상
307,2021040300100143,2021년 4월 3일 11시,토요일,경기도 하남시 신장동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,남,60세,상해없음,보행자,남,12세,경상
308,2021040500100097,2021년 4월 5일 08시,월요일,경기도 수원시 권선구 고색동,부상신고사고,0,0,0,1,차대차 - 측면충돌,직진우회전진행방해,건조,맑음,교차로 - 교차로안,승용,여,51세,상해없음,자전거,남,11세,부상신고
309,2021040500100438,2021년 4월 5일 16시,월요일,경기도 남양주시 오남읍,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,39세,상해없음,자전거,남,11세,경상
310,2021040700100362,2021년 4월 7일 16시,수요일,경기도 광주시 남한산성면,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,기타 - 기타,승용,여,67세,상해없음,보행자,남,10세,경상
311,2021040700100557,2021년 4월 7일 20시,수요일,경기도 용인시 기흥구 영덕동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,여,52세,상해없음,자전거,남,11세,경상
313,2021040800100543,2021년 4월 8일 19시,목요일,경기도 고양시 일산서구 일산동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,화물,남,50세,상해없음,자전거,남,12세,부상신고
314,2021041200100251,2021년 4월 12일 13시,월요일,경기도 구리시 갈매동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,젖음/습기,비,교차로 - 교차로부근,승용,여,35세,상해없음,보행자,여,11세,중상
315,2021041300100237,2021년 4월 13일 13시,화요일,경기도 수원시 장안구 송죽동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,남,26세,상해없음,보행자,여,10세,중상
316,2021041400100186,2021년 4월 14일 12시,수요일,경기도 군포시 산본동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승합,남,68세,상해없음,자전거,여,11세,중상
317,2021041700100484,2021년 4월 17일 19시,토요일,경기도 평택시 용이동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,25세,상해없음,보행자,여,12세,경상
318,2021042000100583,2021년 4월 20일 21시,화요일,경기도 양주시 옥정동,경상사고,0,0,1,0,차대사람 - 보도통행중,기타,건조,맑음,교차로 - 교차로부근,원동기,남,43세,상해없음,보행자,여,11세,경상
320,2021042200100116,2021년 4월 22일 09시,목요일,경기도 평택시 오성면,중상사고,0,1,0,0,차대차 - 추돌,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,61세,상해없음,자전거,남,11세,중상
321,2021042300100081,2021년 4월 23일 08시,금요일,경기도 수원시 권선구 구운동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승용,여,60세,상해없음,보행자,남,10세,경상
322,2021042300100528,2021년 4월 23일 19시,금요일,경기도 화성시 반송동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,서리/결빙,맑음,교차로 - 교차로부근,기타불명,기타불명,미분류,기타불명,보행자,여,12세,경상
323,2021042400100378,2021년 4월 24일 16시,토요일,경기도 남양주시 평내동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,보행자,남,10세,부상신고
324,2021042500100112,2021년 4월 25일 11시,일요일,경기도 의왕시 삼동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,50세,상해없음,보행자,여,12세,경상
325,2021042600100374,2021년 4월 26일 16시,월요일,경기도 용인시 처인구 마평동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,47세,상해없음,자전거,남,10세,경상
326,2021042600100416,2021년 4월 26일 16시,월요일,경기도 남양주시 평내동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,단일로 - 기타,화물,남,58세,상해없음,자전거,남,10세,경상
328,2021042700100373,2021년 4월 27일 17시,화요일,경기도 평택시 청북읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로안,이륜,남,46세,상해없음,보행자,남,11세,경상
329,2021042800100446,2021년 4월 28일 19시,수요일,경기도 안양시 동안구 평촌동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,55세,상해없음,자전거,여,12세,경상
330,2021042900100359,2021년 4월 29일 16시,목요일,경기도 성남시 분당구 서현동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,자전거,남,65세,상해없음,보행자,여,11세,경상
331,2021042900100400,2021년 4월 29일 17시,목요일,경기도 광명시 광명동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,기타 - 기타,이륜,남,22세,상해없음,자전거,남,12세,경상
332,2021042900100429,2021년 4월 29일 17시,목요일,경기도 남양주시 일패동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,64세,상해없음,보행자,남,12세,경상
333,2021042900100492,2021년 4월 29일 18시,목요일,경기도 의정부시 신곡동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,55세,상해없음,기타불명,남,10세,부상신고
334,2021050200100187,2021년 5월 2일 13시,일요일,경기도 부천시 심곡동,경상사고,0,0,1,0,차대차 - 측면충돌,신호위반,건조,맑음,교차로 - 교차로안,승용,남,27세,상해없음,자전거,남,11세,경상
335,2021050200100382,2021년 5월 2일 19시,일요일,경기도 성남시 분당구 서현동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,42세,상해없음,자전거,남,10세,부상신고
336,2021050300100392,2021년 5월 3일 15시,월요일,경기도 남양주시 별내동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,45세,상해없음,자전거,남,12세,중상
337,2021050300100504,2021년 5월 3일 18시,월요일,경기도 평택시 동삭동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,남,30세,상해없음,자전거,남,10세,경상
338,2021050500100249,2021년 5월 5일 13시,수요일,경기도 남양주시 퇴계원읍,중상사고,0,1,0,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로안,승용,여,28세,상해없음,보행자,여,12세,중상
339,2021050600100485,2021년 5월 6일 20시,목요일,경기도 부천시 심곡본동,경상사고,0,0,1,0,차대차 - 후진중충돌,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,63세,상해없음,자전거,남,10세,경상
341,2021050700100241,2021년 5월 7일 13시,금요일,경기도 이천시 안흥동,경상사고,0,0,1,0,차대차 - 기타,교차로운행방법위반,건조,맑음,교차로 - 교차로안,승용,남,55세,상해없음,자전거,남,10세,경상
342,2021050900100195,2021년 5월 9일 13시,일요일,경기도 부천시 심곡본동,경상사고,0,0,1,0,차대사람 - 길가장자리구역통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,54세,기타불명,보행자,여,12세,경상
343,2021051000100076,2021년 5월 10일 08시,월요일,경기도 하남시 덕풍동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,42세,상해없음,자전거,남,11세,경상
344,2021051100100291,2021년 5월 11일 13시,화요일,경기도 성남시 분당구 분당동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로횡단보도내,원동기,남,30세,상해없음,보행자,여,11세,경상
345,2021051100100369,2021년 5월 11일 15시,화요일,경기도 수원시 영통구 이의동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,화물,남,62세,상해없음,자전거,남,12세,경상
346,2021051100100419,2021년 5월 11일 16시,화요일,경기도 용인시 수지구 죽전동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,기타 - 기타,화물,남,51세,상해없음,자전거,남,10세,부상신고
349,2021051200100313,2021년 5월 12일 15시,수요일,경기도 성남시 수정구 수진동,경상사고,0,0,2,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,여,57세,기타불명,자전거,여,12세,경상
350,2021051200100343,2021년 5월 12일 15시,수요일,경기도 남양주시 별내동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,건조,맑음,교차로 - 교차로횡단보도내,승용,여,36세,상해없음,자전거,남,12세,경상
352,2021051400100565,2021년 5월 14일 18시,금요일,경기도 남양주시 화도읍,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,단일로 - 기타,개인형이동수단(PM),남,17세,기타불명,보행자,남,11세,경상
354,2021051700100085,2021년 5월 17일 08시,월요일,경기도 시흥시 정왕동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,49세,상해없음,자전거,남,12세,경상
355,2021051700100346,2021년 5월 17일 17시,월요일,경기도 군포시 당동,경상사고,0,0,1,0,차대차 - 기타,기타,건조,맑음,단일로 - 기타,승용,남,52세,상해없음,자전거,남,10세,경상
357,2021051900100160,2021년 5월 19일 11시,수요일,경기도 용인시 처인구 남사읍,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,54세,상해없음,보행자,여,12세,경상
358,2021052000100319,2021년 5월 20일 16시,목요일,경기도 양주시 덕정동,중상사고,0,1,0,0,차대사람 - 횡단중,신호위반,건조,맑음,교차로 - 교차로안,승용,여,66세,상해없음,보행자,여,12세,중상
359,2021052000100495,2021년 5월 20일 21시,목요일,경기도 오산시 오산동,경상사고,0,0,1,0,차대사람 - 횡단중,신호위반,젖음/습기,비,교차로 - 교차로횡단보도내,승용,여,56세,상해없음,보행자,남,10세,경상
360,2021052100100475,2021년 5월 21일 19시,금요일,경기도 성남시 중원구 성남동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,기타 - 기타,승용,남,52세,상해없음,보행자,여,10세,경상
361,2021052200100519,2021년 5월 22일 19시,토요일,경기도 의정부시 낙양동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,이륜,남,44세,상해없음,자전거,남,12세,부상신고
362,2021052400100262,2021년 5월 24일 14시,월요일,경기도 오산시 금암동,중상사고,0,2,0,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로안,승합,남,49세,상해없음,자전거,남,10세,중상
363,2021052400100342,2021년 5월 24일 16시,월요일,경기도 안산시 단원구 고잔동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로횡단보도내,승용,여,59세,상해없음,자전거,여,11세,경상
364,2021052500100454,2021년 5월 25일 17시,화요일,경기도 구리시 인창동,경상사고,0,0,1,0,차대사람 - 횡단중,보행자보호의무위반,건조,맑음,교차로 - 교차로횡단보도내,승용,여,33세,상해없음,보행자,남,11세,경상
365,2021052700100301,2021년 5월 27일 14시,목요일,경기도 고양시 일산서구 일산동,중상사고,0,1,0,0,차대사람 - 기타,신호위반,건조,맑음,교차로 - 교차로횡단보도내,이륜,남,54세,상해없음,보행자,여,11세,중상
366,2021052700100346,2021년 5월 27일 16시,목요일,경기도 시흥시 정왕동,중상사고,0,1,0,0,차대사람 - 기타,안전운전불이행,건조,맑음,단일로 - 기타,승용,남,56세,상해없음,보행자,여,12세,중상
367,2021052800100388,2021년 5월 28일 16시,금요일,경기도 파주시 동패동,중상사고,0,1,1,0,차대사람 - 차도통행중,안전운전불이행,건조,맑음,단일로 - 기타,승용,여,53세,상해없음,보행자,여,11세,중상
370,2021053000100387,2021년 5월 30일 19시,일요일,경기도 하남시 망월동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,젖음/습기,비,교차로 - 교차로안,승용,남,34세,상해없음,보행자,남,12세,경상
371,2021053100100309,2021년 5월 31일 15시,월요일,경기도 파주시 동패동,경상사고,0,0,1,0,차대사람 - 보도통행중,안전운전불이행,건조,맑음,기타 - 기타,특수,남,48세,상해없음,보행자,여,12세,경상
373,2021060100100183,2021년 6월 1일 11시,화요일,경기도 안성시 당왕동,경상사고,0,0,1,0,차대사람 - 기타,신호위반,건조,맑음,단일로 - 기타,승용,남,79세,상해없음,보행자,여,11세,경상
374,2021060200100289,2021년 6월 2일 14시,수요일,경기도 화성시 능동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,45세,상해없음,보행자,남,10세,경상
375,2021060200100314,2021년 6월 2일 14시,수요일,경기도 가평군 가평읍,중상사고,0,1,0,0,차대사람 - 횡단중,기타,건조,맑음,단일로 - 기타,승용,여,49세,상해없음,보행자,여,11세,중상
376,2021060200100399,2021년 6월 2일 17시,수요일,경기도 수원시 영통구 하동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,건조,맑음,교차로 - 교차로안,자전거,남,18세,경상,자전거,남,12세,중상
377,2021060200100459,2021년 6월 2일 18시,수요일,경기도 광주시 태전동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,건조,맑음,교차로 - 교차로부근,승용,여,21세,상해없음,자전거,남,12세,경상
